Date,TSMC_Today_Ret,Delta_Lag1_Ret,GlobalWafers_Lag1_Ret,MegaUnion_Lag1_Ret,TSEC_Lag1_Ret,BBWidth_Lag1,BBPercent_Lag1,RSI_Lag1
2025-06-17,1.9512053626342452,0.628139213280754,0.0,-1.8058653597824548,-0.10442115322505385,0.13430633080096493,0.7569797091571119,63.703900301689266
2025-06-18,0.956948700848792,0.3811944091486552,-0.16723364694958276,-2.1839106946387465,0.7332888142830063,0.14191538649790453,0.8610804814163033,70.72155274747496
2025-06-19,-1.8957209083463433,1.3924050632911467,0.0,1.7626359375946254,0.6534454580739535,0.14997561379396135,0.879990526541498,71.83343512004471
2025-06-20,1.9323529268027828,0.8739076154806513,-3.5175799904520244,-2.0785248226373954,-1.579973732043427,0.15263498935403388,0.7253951494856536,65.61097541611218
2025-06-23,-3.3175320535458352,-0.990099009900991,-0.3472203748368652,3.773584486168202,0.19197052457564645,0.1578339157325734,0.8189566996340718,74.5676675095819
2025-06-24,2.9411611740551624,0.0,-1.3937316778050546,-2.045450309224961,-1.423044541892171,0.15634526127383636,0.5861605203667423,64.17958704840385
2025-06-25,1.9047718637477784,4.249999999999998,5.477024851980539,7.1925747801518725,2.101692545040379,0.15678935099070293,0.7503045794235518,62.77745126266657
2025-06-26,0.4672892347301394,1.5587529976019088,1.507540267999019,-1.948054642137964,1.0899645222608445,0.15730343182635184,0.8391808992174744,64.47939790857535
2025-06-27,0.4651272747971502,-0.8264462809917328,4.950499954331478,-2.2075078615861443,0.27520638301874456,0.15664396714018824,0.834963022359608,65.87537464335335
2025-06-30,-1.851861159474788,0.952380952380949,-0.471695608383782,-2.8216646246600807,0.39008940370151013,0.15401574321203626,0.8333386363982132,65.22531815151007
2025-07-01,2.3584997341179914,-2.594339622641506,-4.739340847740625,0.23228754547084396,-1.4351611940869091,0.13421053391613777,0.6935583168108236,54.037901021060826
2025-07-02,0.0,3.6319612590798966,1.9900495964390252,-0.8111295553442921,1.3376209140048223,0.11487694919580295,0.8756827221278272,54.989836552566395
2025-07-03,0.46081759875691297,0.3504672897196359,-1.7886185972198265,7.009346068851086,0.10649919614669212,0.10942203595016138,0.8491728912569771,58.695705808759755
2025-07-04,-0.45870381087024237,6.868451688009314,1.6556307505731116,-2.5109118624489835,0.5989548437806524,0.10508400599414036,0.8636345646596423,63.63634578973124
2025-07-07,-0.460828969108229,-0.43572984749454813,-0.16287577294689104,-2.7995531986257705,-0.7285295494271593,0.09433272936823964,0.8056634939504156,63.63639931738046
2025-07-08,0.0,-1.5317286652078765,-2.446969322869963,0.11520713137356253,-0.526795861514584,0.08308439983059558,0.7438432352966472,58.5366455415463
2025-07-09,0.9259134452497042,0.33333333333334103,-1.1705727768095975,0.2301491145543677,-0.2962771383824059,0.08319742302824315,0.7207233775146525,56.410292094627074
2025-07-10,0.9174415763257837,-0.11074197120708451,4.060913383273634,1.4925341903797795,0.7366883497436749,0.0867108841164559,0.8040597991340483,64.86484142979515
2025-07-11,0.0,6.984478935698446,0.32520153230553017,9.954751935432338,0.7379596142790046,0.09069493940250813,0.8650303495768739,62.85716903636689
2025-07-14,-0.4545561600602932,0.10362694300518616,3.0794205730915403,1.0593220338983134,0.25461005750608834,0.08953657498044774,0.8319487049451773,78.57144744639761
2025-07-15,1.3698616246763606,-2.0703933747411973,-2.0440241367489453,-4.612159329140464,-0.5980326954644122,0.0832955139846148,0.7604393355372016,69.56520805434815
2025-07-16,1.8017999994887512,4.439746300211422,-0.481548407822352,0.9890109890109855,0.9770905870307711,0.08536398616156628,0.8814027433731735,68.18177739018032
2025-07-17,0.0,1.2145748987854255,6.085532952320705,-1.4145810663764968,0.9062948249833447,0.09451172523664443,1.0026740722087328,71.9999565662408
2025-07-18,2.212398124233661,-0.20000000000000018,9.922478998488572,0.8830022075055233,0.3054255543222917,0.0950879522907322,0.9513336107634088,70.83326050340062
2025-07-21,-0.432899970509093,2.004008016032066,-2.256703566599416,0.0,1.1675174216255968,0.10797984820542457,1.0657838153898296,88.00001183339891
2025-07-22,-1.7391392967791242,1.1787819253438192,0.7214981545478505,-2.188183807439825,-0.182055656943525,0.1014349849424425,0.9951774677970807,80.95238094147251
2025-07-23,1.327443241560755,-0.3883495145631022,-4.441257358651973,-0.8948545861297563,-1.5108489973571504,0.0971256578075401,0.790421457685504,67.99993287993125
2025-07-24,0.0,1.3645224171539905,1.9490295678969538,-0.22573363431150906,1.4387991654924104,0.10028710558051203,0.8820363228835705,70.37036020924089
2025-07-25,0.0,-0.38461538461538325,2.4999981961128404,-1.1312217194570096,0.23612215902308886,0.10258562012702632,0.8414538572796689,73.07683547040114
2025-07-28,0.0,-0.19305019305019266,-0.2869500552913462,-1.3729977116704761,-0.040000501364123586,0.10427635094425368,0.8068423933565049,75.99989734925049
2025-07-29,-0.8733722789339371,0.9671179883945946,0.7194307457012217,-0.46403712296984034,0.20800726399519132,0.09867938690787907,0.7843387159885009,75.99989734925049
2025-07-30,1.7621236831109943,0.5747126436781658,-1.7142865654259598,1.631701631701632,-0.9031782082688844,0.09672710941069429,0.6736558488894198,67.99989340259154
2025-07-31,0.43291065174895227,0.952380952380949,0.0,-2.064220183486243,1.1214833214890696,0.09739504291799679,0.8232223217456789,70.37025867200472
2025-08-01,0.0,6.981132075471708,-0.4360467319004413,-0.3512880562060894,0.34438577266941994,0.09876144353830776,0.8312797727721185,71.42848330157321
